index,요리이름,칼로리,탄수화물,단백질,지질,나트륨,콜레스테롤,식이섬유,칼슘,비타민c,당류
2921,명란츠케맨,3.5,3.5,3.8,2.2,27.0,0.0,6.6,6.2,5.6,0.0
2922,베이컨맥앤치즈또띠아피자,26.2,17.2,35.1,24.1,41.7,18.4,24.6,40.0,2.4,1.7
2923,스테이크,37.3,6.4,109.8,88.5,58.9,68.5,14.0,11.1,18.3,0.0
2924,비스킷,12.5,16.0,12.6,1.4,81.8,0.0,7.6,90.8,0.0,0.0
2925,차돌강된장,7.2,2.5,28.2,10.8,12.1,11.6,5.6,3.9,10.2,0.0
2927,두부강정,14.7,8.9,39.7,25.4,34.5,0.0,32.4,40.9,2.3,9.4
2929,달걀샌드위치,43.9,13.8,79.4,109.9,36.6,514.3,9.5,22.7,0.0,0.0
2930,버섯밥,2.9,2.5,3.7,4.0,44.1,0.0,11.9,1.7,2.6,4.7
2932,추로스소시지,8.6,7.0,20.3,12.4,4.5,10.0,43.6,14.1,12.7,0.0
2933,깡새우튀김,15.2,6.7,65.2,14.3,31.9,108.5,0.0,181.0,0.0,0.0
2936,맥앤치토스,63.4,38.7,107.4,84.3,74.5,254.3,14.6,116.8,1.0,0.0
2938,감자탕라면,34.3,30.0,29.1,44.7,127.7,0.8,30.5,10.7,65.1,0.0
